tray;pot;position;genotype;treatment
17;28;17_28;Eyach;Control
17;29;17_29;Tu-Wal_ics1;#3
17;3;17_3;Tu-Wal_ics1;#2
17;30;17_30;sid2-2;#1
17;31;17_31;Lu;#1
17;32;17_32;Col0;#1
17;33;17_33;sid2-2;Control
17;34;17_34;Tu-Wal;Control
17;35;17_35;Kus;Control
17;36;17_36;Col0_acd6;#1
17;37;17_37;Schl;#2
17;38;17_38;Eyach;#3
17;39;17_39;Schl;#1
17;4;17_4;sid2-2;#3
17;40;17_40;Lu;#3
17;41;17_41;HE;#1+s13
17;42;17_42;HE;#3
17;43;17_43;sid2-2;#2
17;44;17_44;Lu;Control
17;45;17_45;HE;Control
17;46;17_46;Schl;#3
17;47;17_47;Lu;#2
17;48;17_48;Tu-Wal;#3
17;5;17_5;Col0_acd6;#2
17;6;17_6;Col0;#2
17;7;17_7;Col0;Control
17;8;17_8;HE;#2
17;9;17_9;Kus;#3
18;1;18_1;Lu;#1
18;10;18_10;Kus;#1
18;11;18_11;Eyach;#1
18;12;18_12;HE;#1+s14
18;13;18_13;Lu;Control
18;14;18_14;HE;#1
18;15;18_15;sid2-2;Control
18;16;18_16;Tu-Wal;#3
18;17;18_17;HE;#1+s13
18;18;18_18;HE;#1+s17
18;19;18_19;Col0;#2
18;2;18_2;Tu-Wal_ics1;#3
18;20;18_20;HE;#3
18;21;18_21;Schl;#1
18;22;18_22;Schl;#3
18;23;18_23;Tu-Wal_acd6;#1
18;24;18_24;Schl;#2
18;25;18_25;Schl;Control
18;26;18_26;Tu-Wal_ics1;Control
18;27;18_27;Kus;#2
18;28;18_28;Tu-Wal_ics1;#2
18;29;18_29;Col0;Control
18;3;18_3;sid2-2;#3
18;30;18_30;Kus;Control
18;31;18_31;Tu-Wal;#1
18;32;18_32;HE;#2
18;33;18_33;Tu-Wal_acd6;#2
18;34;18_34;Tu-Wal;#2
18;35;18_35;Tu-Wal_acd6;#3
18;36;18_36;Col0_acd6;#3
18;37;18_37;Col0_acd6;#1
18;38;18_38;sid2-2;#2
18;39;18_39;Eyach;#3
18;4;18_4;Eyach;Control
18;40;18_40;Tu-Wal_ics1;#1
18;41;18_41;Col0_acd6;#2
18;42;18_42;Col0;#1
18;43;18_43;Tu-Wal;Control
18;44;18_44;Eyach;#2
18;45;18_45;HE;Control
18;46;18_46;Lu;#3
18;47;18_47;Col0;#3
18;48;18_48;sid2-2;#1
18;5;18_5;Tu-Wal_acd6;Control
18;6;18_6;Lu;#2
18;7;18_7;HE;#1+s15
18;8;18_8;Kus;#3
18;9;18_9;Col0_acd6;Control
19;1;19_1;Col0_acd6;#1
19;10;19_10;HE;#1+s15
19;11;19_11;Tu-Wal;#2
19;12;19_12;Schl;Control
19;13;19_13;HE;#3
19;14;19_14;sid2-2;#1
19;15;19_15;HE;Control
19;16;19_16;Tu-Wal;#1
19;17;19_17;Col0_acd6;#3
19;18;19_18;Col0;#2
19;19;19_19;sid2-2;#3
19;2;19_2;HE;#1+s13
19;20;19_20;Tu-Wal_ics1;#3
19;21;19_21;Eyach;#3
19;22;19_22;sid2-2;#2
19;23;19_23;Schl;#3
19;24;19_24;Tu-Wal_acd6;#2
19;25;19_25;Tu-Wal_ics1;#1
19;26;19_26;Col0;#1
19;27;19_27;Eyach;Control
19;28;19_28;Tu-Wal_acd6;Control
19;29;19_29;Tu-Wal;#3
19;3;19_3;Tu-Wal;Control
